row_num,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
441283,2020-12-06 23:12:24,4292743669224718067,fraud_Predovic Inc,shopping_net,986.43,Michael,Williams,M,35822 Clayton Street Apt. 679,Great Mills,MD,20634,38.2674,-76.4954,5927,Art therapist,1973-06-09,a9605942c1c72383eae209d343b2ca5b,1386371544,38.355806,-75.585197,1
180145,2019-04-04 10:03:17,180048185037117,"fraud_Harris, Gusikowski and Heaney",grocery_net,41.56,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,ff49d3ec759b5d67f78f323158b62fb3,1333533797,40.320596,-73.710089,0
1293440,2020-06-20 06:21:26,30026790933302,"fraud_Altenwerth, Cartwright and Koss",shopping_net,103.26,John,Peters,M,555 Michael Burgs,Mayersville,MS,39113,32.9013,-91.0286,595,Technical brewer,1979-09-03,0fc5a87c89a2bb21ea11d80c3ff038b4,1371709286,32.380557,-91.131081,0
405670,2019-07-03 01:02:23,5559857416065248,fraud_Friesen-Stamm,gas_transport,21.9,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1945-12-21,f971a6bae7475f54df54ef6f44c20773,1341277343,41.673672,-123.421652,1
141218,2019-03-17 21:14:08,2297447006766555,fraud_Kihn-Schuster,food_dining,34.84,Laura,Walker,F,611 Michael Rue,Cisco,IL,61830,39.9972,-88.6962,478,Landscape architect,1960-01-13,4197cadb3afe5da08d30cef43fd3722b,1332018848,40.96343,-88.52400300000001,0
1178538,2020-05-06 23:59:22,3559723917628303,fraud_Goyette Inc,shopping_net,1018.9,Matthew,Huerta,M,622 Williams Trafficway,Ringwood,IL,60072,42.4048,-88.3054,928,Outdoor activities/education manager,1985-05-13,2baf60311c66d77f45127f019920b9c5,1367884762,42.691259,-88.051162,1
1022040,2020-02-27 00:13:36,4874006077381178,fraud_Huels-Nolan,gas_transport,9.18,Patricia,Russell,F,89297 Wilson Green Suite 601,Moscow,IA,52760,41.5646,-91.0859,533,Chief Technology Officer,1990-01-13,9fc45fb4de3a1c764ebffe6f77be7fd5,1361924016,41.007266,-91.702067,1
1176824,2020-05-05 22:52:19,2296006538441789,fraud_Predovic Inc,shopping_net,979.39,Judy,Hogan,F,4970 Michelle Burgs,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1999-09-01,3b511d3aaf4e292e800992f65979fad0,1367794339,40.431549,-73.365581,1
1051522,2020-03-12 03:45:39,4501449508569485,fraud_Kutch and Sons,grocery_pos,299.92,Paul,Wade,M,2306 Clark Ranch Suite 515,Ferney,SD,57439,45.32899999999999,-98.0837,52,Bookseller,1990-05-22,f728872a9f201285bba4e8441b70cf2a,1363059939,45.285088,-97.676335,1
1233033,2020-05-29 22:24:09,6011681934117244,fraud_Bogisich Inc,grocery_pos,326.49,Kaitlyn,Newman,F,098 Stewart Hill,Slayden,TN,37165,36.2835,-87.4581,70,Prison officer,1956-06-22,5a4ae8b6d30c1e359c513eac860d7aad,1369866249,36.098562,-87.05159599999999,1
468985,2019-07-25 23:13:25,375848982312810,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1146.79,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,1943-12-15,b59c247b367759a93eea8330df4bcf8b,1343258005,31.225575,-98.299638,1
654420,2019-10-06 00:59:16,4260128500325,"fraud_Osinski, Ledner and Leuschke",grocery_pos,299.49,Whitney,Gallagher,F,0374 Courtney Islands Apt. 400,Deane,KY,41812,37.2409,-82.7696,230,"Conservation officer, historic buildings",1997-08-04,964f098fb908ce176823b8a9906f74ac,1349485156,37.424833,-81.856802,1
529601,2020-12-26 14:07:13,3598215285024754,"fraud_Schaefer, Fay and Hilll",entertainment,80.3,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21,5bfb83ff8fd6bde53908de6973ec6c9c,1388066833,40.006345,-73.01078100000001,0
355587,2020-11-05 22:52:47,4756039869079882102,fraud_Powlowski-Weimann,food_dining,32.16,Francisco,Hernandez,M,980 Smith Gardens,Gainesville,TX,76240,33.6547,-97.1583,26120,"Engineer, manufacturing",1954-01-06,55b2b44c542c0f07e555d72333ffca15,1383691967,32.857417,-96.414867,0
715102,2019-11-01 22:28:26,180094608895855,fraud_Huel-Langworth,misc_net,715.88,Tammie,Harper,F,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,1961-05-19,47426c9dff43236a88eedfb919cef7e1,1351808906,43.126232,-122.274331,1
459331,2019-07-22 02:34:43,676148621961,"fraud_Tillman, Dickinson and Labadie",gas_transport,21.2,Jennifer,Vega,F,91644 Crystal Drives,Eagarville,IL,62023,39.1118,-89.7855,91,Materials engineer,1962-11-18,dd3600a4125c3dd247cc4e523fe6555d,1342924483,39.247314,-90.149819,1
1027606,2020-03-02 00:37:30,374930071163758,fraud_Rutherford-Mertz,grocery_pos,320.41,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,1971-11-05,2ffd38c5eb8351780fa615ba2dfb59ed,1362184650,42.457021000000005,-83.385552,1
1011237,2020-02-20 22:02:06,6573561108825071,fraud_Block-Parisian,misc_net,740.52,Kristina,Lewis,F,5449 Brandi Heights Apt. 111,Tulsa,OK,74130,36.2395,-95.9596,413574,Bookseller,1968-06-18,8d46afc67ba7c9096df15b96ed315225,1361397726,36.55765,-95.728092,1
783741,2019-11-30 23:48:05,3562264947797243,fraud_Waelchi-Wolf,kids_pets,5.66,Anthony,Velasquez,M,609 Hunt Grove,Saint Francis,KY,40062,37.6047,-85.4251,301,"Research officer, political party",1967-03-17,c423dc7e3ae3cd2d17e8f1192a1aed29,1354319285,36.874936,-85.459879,1
30184,2019-01-18 22:36:37,372246459334925,"fraud_Bernhard, Grant and Langworth",shopping_pos,768.58,Rick,Martinez,M,062 Poole Hollow Apt. 815,Deadwood,SD,57732,44.3566,-103.6999,1979,Multimedia programmer,1970-03-13,e2e49325b25dc96d287e960deb1b37ba,1326926197,43.511685,-104.255432,1
99144,2019-02-27 22:21:25,6011305591981276,fraud_Kuhn LLC,misc_net,749.98,Daniel,Jones,M,290 Kathryn Fall,Huntsville,AL,35803,34.6205,-86.551,190178,"Engineer, automotive",1959-06-06,ef24c25feb01e155963aaa7983fc3dd7,1330381285,35.616373,-86.288604,1
665465,2019-10-10 22:26:28,36153880429415,fraud_Schumm PLC,shopping_net,1066.31,Erik,Stevens,M,84033 Pitts Overpass,Lakeland,FL,33809,28.1762,-81.9591,237282,Plant breeder/geneticist,1949-10-13,4af1e28e605f90ab6c3fc62e3cd041f2,1349907988,27.953876,-81.8687,1
47848,2019-01-28 23:48:09,373213026644490,"fraud_Reichert, Huels and Hoppe",shopping_net,1037.0,Bobby,Smith,M,3495 Williams Stream,San Diego,CA,92101,32.7185,-117.1593,1241364,Comptroller,1987-11-30,ab450a443f8c628a9696fd97e8f9c353,1327794489,33.086398,-117.259417,1
667161,2019-10-11 20:47:43,374238209524200,fraud_Fadel Inc,health_fitness,68.12,Daniel,Martinez,M,8510 Acevedo Burgs,Kent,OR,97033,45.0838,-120.6649,60,Museum education officer,1942-04-03,315751d653f40a6a32ee62f5da0c8514,1349988463,45.713064,-119.926827,0
237667,2020-09-14 23:29:50,4586260469584,fraud_Auer-West,shopping_net,928.08,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,c3a8e15e7be5760506e4b412535552ba,1379201390,39.853239,-96.207387,1
307415,2019-05-29 03:20:26,213124978348176,fraud_Murray Ltd,grocery_net,15.95,Steven,Arnold,M,079 Chelsea Rest,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,1962-06-04,2883e6322a7c90c1e8f1c0a90f100b57,1338261626,41.41192,-78.747801,1
97786,2019-02-26 20:57:35,213195754007681,fraud_Hamill-Daugherty,misc_net,899.58,Zachary,Allen,M,69252 Oconnor Alley Apt. 153,Ollie,IA,52576,41.2001,-92.1354,568,Commercial horticulturist,1969-07-24,585a8fc5ae6167b414e805b7aa352e84,1330289855,41.719701,-91.199824,1
395773,2019-06-29 22:45:14,2291163933867244,"fraud_Kunze, Larkin and Mayert",travel,4.43,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,1968-03-19,31da3e8622671c877f31a46c04c9e8a2,1341009914,33.288711,-80.684163,0
299835,2020-10-12 12:59:49,4584931703207308232,"fraud_Yost, Schamberger and Windler",kids_pets,127.16,Amanda,Gomez,F,8152 Brittany Centers,Dallas,TX,75218,32.8463,-96.6972,1263321,"Designer, ceramics/pottery",1975-04-16,5b9826cd78fd618faf5e9487d128cb79,1381582789,32.540409000000004,-97.208125,0
1248615,2020-06-03 22:43:46,4538566639857,fraud_Kerluke-Abshire,shopping_net,1091.97,Jerry,Kelly,M,3539 Mckenzie Stream,Fairview,NJ,7022,40.817,-74.0,13835,"Programmer, multimedia",1967-05-28,4bc0da420e788a236fec555c610d2368,1370299426,41.466234,-74.132459,1
255013,2019-05-06 20:42:54,4658117080136,"fraud_Turner, Ruecker and Parisian",misc_pos,98.79,Dwayne,Martinez,M,490 Baldwin Alley Apt. 468,Crownpoint,NM,87313,35.7206,-108.0271,5662,IT consultant,1989-04-08,a1a12f53d794ce7265ac7da98b310f2f,1336336974,36.269403,-107.047015,0
1022034,2020-02-27 00:09:08,4223708906367574214,fraud_Kiehn-Emmerich,grocery_pos,300.31,Adam,Riddle,M,27718 Mason Bypass,Mount Saint Joseph,OH,45051,39.0965,-84.6431,177,Exhibition designer,1974-05-30,bcc41a925ba988044d68c7f6c3ab86ed,1361923748,38.564665000000005,-84.392618,1
1266841,2020-06-10 01:43:28,3549202406645667,fraud_Schmitt Inc,gas_transport,8.82,Larry,Williams,M,6274 David Oval Suite 725,Scarborough,ME,4074,43.5835,-70.3457,18760,Make,1933-04-02,75790056500dbad870bd84b6f229f249,1370828608,43.03336,-70.878504,1
365644,2020-11-10 01:29:28,3560336828629935,fraud_Brekke and Sons,gas_transport,20.75,Christopher,White,M,13613 Hammond Ferry,Clutier,IA,52217,42.0789,-92.3763,590,"Embryologist, clinical",1953-03-30,8003e80bd8ca4a05dc3ff92fa4108def,1384046968,42.814065,-91.685795,1
62363,2020-07-13 01:17:37,3514897282719543,fraud_Heller-Langosh,gas_transport,6.39,Steven,Faulkner,M,841 Cheryl Centers Suite 115,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13,4334af913f255a1ca70765ae78ba8668,1373678257,42.132967,-77.005521,1
307263,2019-05-29 01:01:57,213178765398315,fraud_Bednar Group,misc_net,924.45,Alan,Colon,M,748 Bryan Fields Suite 935,Riverton,WY,82501,43.0351,-108.2024,19408,"Lecturer, higher education",1993-09-11,34e4e1ad6289f831101d9163f4fd3d52,1338253317,42.655037,-108.014219,1
983940,2020-02-04 03:33:20,30343344410970,"fraud_Heller, Gutmann and Zieme",grocery_pos,67.47,Jacob,Dawson,M,663 Anna Plaza,Marienville,PA,16239,41.4622,-79.1306,4172,"Copywriter, advertising",1962-03-20,641a17dec16c78c7ff91ac47d9358934,1359948800,42.232251,-80.080396,0
1258994,2020-06-08 01:22:52,4334230547694630,fraud_Huels-Hahn,gas_transport,18.32,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,5b3d382cf31ddc63b9d7e4e802961022,1370654572,42.698567,-110.999531,1
627654,2019-09-23 16:42:09,567868110212,fraud_Bartoletti and Sons,personal_care,76.11,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007,29.7736,-95.4034,2906700,"Copywriter, advertising",1984-12-16,d15c61f2bc9fd2823285a48bf5d3a464,1348418529,30.103266,-94.68143,0
654499,2019-10-06 01:45:15,639030014711,fraud_Kutch LLC,gas_transport,12.16,Stephen,Lopez,M,696 Matthew Ford Suite 157,Olmsted,IL,62970,37.1935,-89.0933,639,Mechanical engineer,1982-08-01,cd8098e3a18b6cce6f40a588a0fa1d0e,1349487915,38.083314,-88.260278,1
636739,2019-09-28 12:24:22,4377338765909719,"fraud_Schiller, Blanda and Johnson",home,202.09,Nicholas,Mcmahon,M,2123 Jonathan Falls Suite 753,Heiskell,TN,37754,36.115,-84.0438,4729,"Geologist, wellsite",1982-04-19,0f0b5e06994db170b62c45b39119903e,1348835062,36.6419,-84.377629,0
305523,2019-05-28 02:48:44,3551217896304745,"fraud_Rohan, White and Aufderhar",misc_net,813.98,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09,346814358ed6116061d7484542213998,1338173324,43.448322,-73.748145,1
670868,2019-10-13 06:46:11,375237305371366,fraud_Smith-Stokes,misc_pos,158.22,David,Erickson,M,616 Jimenez Meadow Apt. 701,East Rochester,NY,14445,43.1128,-77.4906,8019,Retail buyer,1928-06-26,e041ccd45e91858a00b01d13346c11b6,1350110771,43.64186,-77.832109,0
1186413,2020-05-10 22:12:34,676326610042,"fraud_Hauck, Dietrich and Funk",kids_pets,16.61,Jacqueline,Caldwell,F,54220 April Union Suite 403,Riverview,MI,48193,42.1782,-83.2461,15623,Writer,1993-11-02,9338b98051b198a9205769321670afe6,1368223954,42.768787,-83.599462,1
280634,2019-05-18 22:18:46,675990301623,fraud_Shields-Wunsch,health_fitness,26.47,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,c1e0867d88a890e8964c52b779cfc8dc,1337379526,40.683632,-74.364409,1
683213,2019-10-18 22:36:06,3529597930342630,"fraud_Wuckert, Wintheiser and Friesen",home,225.88,Melissa,Rodriguez,F,81708 Christopher Plaza,Jordanville,NY,13361,42.8948,-74.8209,824,Travel agency manager,1985-09-01,9fd044ffa259e206f25af2e931213795,1350599766,42.832933,-75.68940500000001,1
491997,2019-08-03 05:56:11,2450829271795901,fraud_Corwin-Collins,gas_transport,10.12,Timothy,Kirby,M,7309 Sophia Causeway Suite 702,Sauk Rapids,MN,56379,45.604,-94.1591,16163,Hydrographic surveyor,1987-02-22,c2f0436aa74543adbbef53a059104681,1343973371,45.741596,-94.837767,1
403516,2020-11-27 02:47:47,2291163933867244,"fraud_Mosciski, Ziemann and Farrell",shopping_net,5.84,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,1968-03-19,498c2ee0e2c7ede3ffbb321cb98f78ef,1385520467,33.754783,-81.83885699999999,0
734172,2019-11-10 02:52:56,3598215285024754,fraud_Spinka-Welch,grocery_net,72.53,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21,c3e2629ff5c3d7c78f2f57bf9248db59,1352515976,40.644916,-72.894562,0
1014758,2020-02-22 23:04:10,30033162392091,"fraud_Ferry, Lynch and Kautzer",misc_net,758.93,Kevin,Summers,M,7302 Samantha Mission,Carroll,NE,68723,42.277,-97.1926,566,Metallurgist,1975-01-26,be991e16efb8098c17d1a7e9bc6dbb0d,1361574250,41.690043,-96.857539,1
66063,2019-02-08 23:32:35,376028110684021,fraud_Gleason-Macejkovic,shopping_net,900.06,Aaron,Murray,M,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,1974-12-23,2af04a7a44e9550c1d3629c7042eb179,1328743955,38.864622,-92.568113,1
955124,2020-01-18 23:39:27,36581538659449,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,732.81,Brandon,Bridges,M,957 Miller Falls,Apison,TN,37302,35.0149,-85.0164,3730,Occupational therapist,1991-01-28,308af8d827c8b9338ab2e025b9758c18,1358552367,34.987107,-85.713708,1
180719,2019-04-04 16:32:41,180031190491743,"fraud_Okuneva, Schneider and Rau",shopping_pos,201.6,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,ccf8f5f4f7d79a6feafe3fa693694ea9,1333557161,30.401701,-88.172503,0
268725,2019-05-13 03:20:22,676309913934,fraud_Hackett-Lueilwitz,grocery_pos,300.92,Robert,Martinez,M,3683 Parrish Circles,Pueblo,CO,81005,38.2352,-104.66,151815,Further education lecturer,1988-01-04,89570562457000e88acb352bf05b6e2c,1336879222,38.436271000000005,-105.34521,1
189651,2019-04-08 03:38:30,3536818734263520,fraud_Gutmann Ltd,grocery_net,7.65,Gerald,Frank,M,95793 Andrea Ville Suite 533,Des Moines,IA,50314,41.603,-93.633,222785,Interior and spatial designer,1981-08-10,99696ec3501ebd1af3b271c79bec19fe,1333856310,40.791184,-93.14961,1
758937,2019-11-20 23:33:55,4365382885912355,fraud_Lebsack and Sons,misc_net,882.54,Robert,Goodman,M,956 Paul Fields Suite 108,Orr,MN,55771,48.1439,-92.8561,1680,Horticultural therapist,1976-12-10,d6625fced39ab10a501305e968533526,1353454435,47.519214,-92.346259,1
859003,2019-12-16 22:48:00,6011935564104173,fraud_Kozey-Boehm,shopping_net,1052.92,Robin,Davis,F,543 Mindy Oval,Dallas,TX,75246,32.7948,-96.7697,1263321,Architect,1949-04-28,db226c68bf73acbee4e38efaa466d3de,1355698080,33.477669,-97.764909,1
517571,2020-12-22 23:13:39,2242176657877538,fraud_Jaskolski-Vandervort,misc_net,766.38,Travis,Daniel,M,1327 Rose Causeway Apt. 610,Senatobia,MS,38668,34.6323,-89.8855,14462,Database administrator,1959-03-03,44292cbc51e37dc018ee6a988a4bc426,1387754019,33.771462,-90.651342,1
1180266,2020-05-07 23:48:02,4536996888716062123,fraud_Fisher Inc,shopping_net,1077.67,Nathan,Mendoza,M,767 Adam Mill Apt. 115,Espanola,NM,87533,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,1972-07-18,dcb29303ace0620d09df56aa296bbfb5,1367970482,36.6002,-106.537705,1
116892,2020-08-01 13:05:46,3573386445588324,fraud_Graham and Sons,health_fitness,45.53,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,4b2a4bb1825e9c1eb762b409441086a9,1375362346,45.900985,-97.557106,0
457053,2020-12-09 23:19:18,3591919803438423,fraud_Zemlak Group,misc_net,1015.53,Brian,Williams,M,32941 Krystal Mill Apt. 552,Titusville,FL,32780,28.5697,-80.8191,54767,Set designer,1987-07-25,99759c4c41396188a9fb5498650aa775,1386631158,28.563715,-80.885251,1
601865,2019-09-13 00:32:12,3524485462198080,fraud_Pacocha-O'Reilly,grocery_pos,318.87,Dennis,Jones,M,671 Cynthia Key Suite 155,Glendale,CA,91206,34.1556,-118.2322,172817,"Accountant, chartered",1941-09-30,cc93bb171696c5e7ea16fab98b301a5b,1347496332,34.995493,-117.805467,1
837521,2019-12-12 22:11:52,4658117080136,fraud_Bartoletti and Sons,personal_care,20.0,Dwayne,Martinez,M,490 Baldwin Alley Apt. 468,Crownpoint,NM,87313,35.7206,-108.0271,5662,IT consultant,1989-04-08,1605edb7c426711426f22db5beba6125,1355350312,35.191041,-108.255173,1
924848,2019-12-31 23:59:23,213155997615567,fraud_Boyer-Reichert,shopping_net,1203.86,James,Yoder,M,83359 Lopez Point,Clune,PA,15727,40.5503,-79.3237,168,Race relations officer,1978-10-04,7dd9c72c87b56c015c4488126cf10fec,1356998363,40.411217,-78.851522,1
